step_n_branch_n_depth_n,step_start_time,step_end_time,branch_start_time,branch_end_time,depth_start_time,depth_end_time,llm_call_start_time,llm_call_end_time,command_execution_start_time,command_execution_end_time,container_operation_start_time,container_operation_end_time,tmux_session_check_start_time,tmux_session_check_end_time,tmux_send_keys_start_time,tmux_send_keys_end_time,tmux_wait_start_time,tmux_wait_end_time,checkpoint_restore_start_time,checkpoint_restore_end_time,container_reconnect_start_time,container_reconnect_end_time,command_keystrokes,command_is_blocking,command_timeout_sec,llm_response_length,terminal_output_length,branch_reward,success,error_message,memory_before_command,memory_after_command,memory_before_checkpoint,memory_after_checkpoint,checkpoint_id,container_id,checkpoint_stats_time,checkpoint_stats_size,restore_stats_time,restore_stats_size,ckptlite_filesystem_size,ckptlite_memory_size,ckptlite_snapshot_vmrss_mb,docker_image_size,mcts_node_id,mcts_parent_id,mcts_n,mcts_w,mcts_q,mcts_ucb,mcts_value,mcts_done,mcts_selected_child
0_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,50da82ac,unknown,0.5859208106994629,1848423,,,0,1848423,8.60546875,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,2026-04-05T21:27:50.259,2026-04-05T21:27:50.370,,,,,,,,,True,,,,,,50da82ac,,,,0.10823965072631836,1855413,0,1855413,8.60546875,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,2026-04-05T21:27:50.383,2026-04-05T21:27:50.495,,,,,,,,,True,,,,,,50da82ac,,,,0.21593713760375977,1859196,0,1859196,8.60546875,,,,,,,,,,
0_0_0,2026-04-05T21:27:50.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,2026-04-05T21:27:50.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,2026-04-05T21:27:50.514,2026-04-05T21:27:50.514,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,,,2026-04-05T21:27:50.514,,2026-04-05T21:27:50.514,,,,,,,,,,,,./maze_game.sh,True,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,,,,2026-04-05T21:29:50.527,,2026-04-05T21:29:50.527,,,,,,,,,,,,,,,23,,False,rc=-1,,,,,,,,,,,,,,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,c4391873,,0.6220211982727051,4252614,,,0,4252614,6.17578125,,,,,,,,,,
0_0_1,,,,,,2026-04-05T21:29:51.027,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,c4391873,,,,,,,,,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,2026-04-05T21:29:51.030,2026-04-05T21:29:51.144,,,,,,,,,True,,,,,,c4391873,,,,0.32444334030151367,4279174,0,4279174,6.17578125,,,,,,,,,,
0_0_1,,,,,2026-04-05T21:29:51.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,2026-04-05T21:29:51.167,2026-04-05T21:29:51.167,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,,,2026-04-05T21:29:51.167,,2026-04-05T21:29:51.167,,,,,,,,,,,,move N & E & S & W,True,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,,,,2026-04-05T21:29:51.175,,2026-04-05T21:29:51.175,,,,,,,,,,,,,,,265,,True,,,,,,,,,,,,,,,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,6323e960,,0.6568930149078369,7536876,,,0,7536876,6.796875,,,,,,,,,,
0_0_1,,,,,,2026-04-05T21:29:51.577,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,6323e960,,,,,,,,,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,2026-04-05T21:29:51.581,2026-04-05T21:29:51.696,,,,,,,,,True,,,,,,6323e960,,,,0.4323863983154297,7571644,0,7571644,6.796875,,,,,,,,,,
0_0_1,,,,,2026-04-05T21:29:51.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,2026-04-05T21:29:51.720,2026-04-05T21:29:51.720,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,,,2026-04-05T21:29:51.720,,2026-04-05T21:29:51.720,,,,,,,,,,,,move S & S & E & E & N & N,True,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,,,,2026-04-05T21:29:51.728,,2026-04-05T21:29:51.728,,,,,,,,,,,,,,,402,,True,,,,,,,,,,,,,,,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,66abd175,,0.6925718784332275,11006553,,,0,11006553,6.86328125,,,,,,,,,,
0_0_1,,,,,,2026-04-05T21:29:52.132,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,66abd175,,,,,,,,,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,2026-04-05T21:29:52.136,2026-04-05T21:29:52.253,,,,,,,,,True,,,,,,66abd175,,,,0.5406255722045898,11008349,0,11008349,6.86328125,,,,,,,,,,
0_0_1,,,,,2026-04-05T21:29:52.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,2026-04-05T21:29:52.278,2026-04-05T21:29:52.278,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,,,2026-04-05T21:29:52.278,,2026-04-05T21:29:52.278,,,,,,,,,,,,move S & S & W & W & N & N & E & E,True,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_0_1,,,,,,,,,,2026-04-05T21:29:52.287,,2026-04-05T21:29:52.287,,,,,,,,,,,,,,,538,,True,,,,,,,,,,,,,,,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,f6dbfda3,,0.7289280891418457,14573930,,,0,14573930,7.0546875,,,,,,,,,,
0_0_1,,,,,,2026-04-05T21:29:52.693,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,f6dbfda3,,,,,,,,,,,,,,,,,,
0_0_0,,,,,,,,,,,,,,,,,,,2026-04-05T21:29:52.698,2026-04-05T21:29:52.817,,,,,,,,,True,,,,,,f6dbfda3,,,,0.6490461826324463,14573774,0,14573774,7.0546875,,,,,,,,,,
0_0_1,,,,,2026-04-05T21:29:52.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
